,aid,reply,view,danmaku,favorite,coin,share,name
0,10492,72004,-1,415584,167870,25759,59826,
1,314,31892,4190224,194677,132154,26303,4464,电磁炮真是太可爱了
2,7,23613,1158359,22770,9991,2189,538,2012地球便当之日宣传片
3,706,21910,1755177,7371,103958,16377,5605,【東方】Bad Apple!! ＰＶ【影絵】
4,13441,21494,4225994,315153,31666,20207,5248,CLANNAD~After Story~【1-25话全】【澄空】BD1080P
5,2053,14632,-1,59385,90797,18079,9440,
6,1267,14434,-1,32039,49116,6758,3684,
7,106,13977,3147210,106712,68801,12760,9919,最终鬼畜蓝蓝路
8,23,9711,-1,40371,29289,2570,4562,
9,107,7415,1579886,53853,43438,5903,3101,最终鬼畜二小姐.芙兰朵露
10,17012,6010,2180782,81417,5070,2348,833,【合辑】公主恋人1 -12话【HKG】
11,8499,5309,2017536,36450,60825,7856,10709,真.三国无双 【兄貴伝】
12,2,4888,-1,1866,1604,480,1292,字幕君交流场所
13,9,4858,1237494,5025,10015,994,833,[思密达]无敌金馆长.
14,10388,4663,-1,12731,16668,948,3421,
15,7029,4461,608483,50869,27522,5983,1270,MAD.CLANNAD .さくら-あなたに出会えてよかった
16,349,3965,165327,805,3229,519,71,[人生的导师松冈修造]東方修夢造
17,271,3638,1089320,529084,6981,704,150,弹幕测试专用
18,3107,3626,-1,5220,11471,476,131,
19,8219,3274,426876,0,1156,74,5,
20,12450,3112,316748,3819,4946,377,149,搬运__【Melendiz — Fuck You All】
21,816,3092,529459,15869,12104,2103,471,金坷垃 美日非K歌金曲CD
22,12999,3074,1503165,101458,21728,4073,1088,【合集】狼与香辛料 第一季【1-13集全】【华盟X元古】720P
23,11486,2936,2640310,176726,12038,3786,1273,【BDRIP】南家三姐妹【第一季】
24,11425,2866,-1,11680,7510,287,1244,
25,13960,2864,343814,12797,14876,3472,266,bilibili入站歌-钢琴完整版
26,12,2501,495352,1392,3743,357,310,音乐与弹幕同步 3.⑤
27,11,2499,168711,2087,1336,165,33,初恋限定 真人pv
28,2332,2382,1059693,69108,9053,1715,793,
29,666,2358,169440,5319,2714,189,122,【音ゲーMAD】Dnars【ドナルド×Evans】
30,4587,2342,-1,9207,32850,3767,4262,
31,9297,2275,328943,28979,2961,1457,448,上老师！我想炉心融解[翻唱]Ryu
32,1612,2196,296356,8152,4977,1418,204,【小缘翻唱;完整版】恋愛サーキュレーション
33,2557,2177,178063,4874,6434,334,199,
34,853,2095,362178,11379,12196,1675,733,钉宫系统音洗脑
35,3741,2036,227625,7183,9884,997,235,【东方】超萌的审判
36,5693,2019,326927,31763,16310,2037,2804,"初音ミクが円周率10,000桁覚えたようです。"
37,7136,1939,609566,35806,17912,1499,561,
38,2313,1921,170131,14135,5424,478,85,【2010《春节X圣战》--大拜年】
39,15647,1886,721651,42931,4369,847,401,
40,1879,1845,117569,6320,3965,275,99,【東方手書】人生＼(＾o＾)／完蛋了【Full】
41,20,1788,157311,3833,3347,361,104,【初音ミク(40mP)】巨大少女
42,12275,1775,1230415,49928,3223,1262,901,
43,495,1764,272462,22965,10523,706,91,【U.N.】U.N.OWEN就是她？495首合集（总31小时）
44,3927,1724,-1,41170,5373,685,207,
45,4845,1719,-1,16103,29595,1823,7706,
46,17500,1653,1791185,86223,9863,1989,519,
47,637,1649,196212,2216,6405,475,108,【東方】PAD先進国紅魔館【ＰＶ風】【GIF跟风测试】
48,9911,1643,1247694,96329,5972,1520,418,【合集】麻辣教师GTO
49,2333,1506,97704,1449,942,154,36,【还是K歌向】新华保险入店歌
50,2995,1429,367799,11800,1822,114,22,【漫游】机动战士高达UC第一话
51,5048,1410,60580,12507,1170,312,161,
52,1961,1407,330972,4109,8813,987,237,【音MAD】杠杠杠杠杠杠杠杠杠【咲-Saki-×ココロオドル】
53,100,1388,45922,1830,1149,1065,33,【基片60分】寨主的灭亡
54,17615,1364,-1,43722,14620,1435,899,
55,39,1309,179217,7609,2225,139,261,
56,10086,1280,215277,4543,1717,165,119,【中文配音】搞笑漫画日和之贴纸
57,1299,1249,115688,2788,432,236,24,量产型⑨缘生产手册
58,10429,1210,735273,11128,12798,860,1639,【原版】葛平 吴克 小光头的由来 老物【起源】
59,2479,1162,127560,4411,3504,234,46,【东方MAD 泪腺崩坏】灵梦和樱花的季节
60,16,1144,108035,1492,874,81,36,【FATE相关】CRUCIS FATAL FAKE MV 《Faker》
61,17800,1143,422677,31146,4572,481,135,【澄空】我家有个狐仙大人24話全
62,12826,1141,385670,50808,1854,313,13,【KFC】steins;gate 中文影像版
63,16781,1113,-1,43942,2503,1042,350,
64,11849,1048,775801,124828,8095,698,56,【合集】龙与虎（1-25全）
65,778,1029,276166,8494,1194,217,131,贫穷姐妹物语
66,9765,1020,232006,17001,5080,210,142,把妹有风险，投胎需谨慎（内嵌中文字幕）
67,13256,956,303651,55376,2954,557,780,泰国奥特曼，5个奥特曼兄弟来客串
68,4903,942,821974,18608,1626,527,359,【4月】会长是女仆大人！ 第1话【极影】 补档#
69,16979,909,167997,3760,5372,546,300,
70,508,880,-1,4513,3409,128,224,
71,3074,870,-1,3641,4976,347,590,
72,270,870,149821,1899,3511,224,57,节奏小鸡
73,7178,861,410422,8641,13262,1861,743,【RSP】樱花相见你【PV】
74,24,855,196740,5105,2897,296,124,多那路多信仰风化曲
75,3372,848,273857,5640,8290,3019,393,【真·烂苹果】全苹果再现Bad Apple!! PV
76,11127,829,794534,54334,7258,755,120,全金属狂潮第二季(720P)
77,1799,812,99749,1867,2330,492,109,【小缘X千石撫子】恋愛サーキュレーション
78,47,808,93457,1325,1328,327,65,汤姆的钢琴演奏-亡き王女の為のセプテット
79,599,795,377119,42167,6344,209,45,
80,4945,788,59267,4599,2681,197,64,【東方】⑨和啤酒
81,7112,780,83431,2172,3199,118,27,(M@D)東方妖女乱舞_紅魔ブリ
82,250,759,-1,1197,855,88,140,
83,2991,754,150214,4730,3110,151,35,这不是BAD apple
84,4476,752,-1,18069,4134,250,122,
85,5728,752,205318,5791,5678,422,40,【U.N.】～Who Killed U.N.Owen～【東方ヴォーカル】
86,55,751,56175,551,329,59,13,【天哥版】最春哥
87,13373,747,18737,2215,2111,382,15,七月三日 小缘夏日专场第一弹
88,17718,746,334896,11249,3330,301,276,【手办】史上最强手办
89,1189,740,582455,11280,1847,354,183,【一月】笨蛋测验召唤兽 第1话【HKG】
90,6487,740,134856,2958,4210,423,321,（本家）亚拉那一卡
91,4450,739,167591,3174,4173,444,145,【VAN樣】ローリン♂ダーク
92,4809,737,21116,0,53,10,0,
93,4300,721,99612,1212,2501,133,15,嘿嘿!我想做你的基友!
94,1579,700,413044,6823,4207,250,245,这是肥音你懂吗
95,17014,687,316137,30332,2043,129,7,
96,10585,682,295851,90464,7905,1132,71,用windows系统音做的BGM
97,9118,678,87054,2301,1649,253,32,【轻音小丑】GO!GO!蓝蓝路！四天王最后一击！
98,13940,663,227444,14551,1919,118,31,【瞎狗眼不偿命】●真人版●动画OP/ED合集
99,326,655,314069,3483,340,205,155,
100,11636,652,2914,4765,2634,123,13,【AMV】Cross Point
101,110,650,42773,907,879,124,29,
102,16000,645,206894,7263,1869,217,265,黑子喝了媚药之后……
103,5091,642,123794,5709,3344,88,49,[尺度突破？神PV]罗密欧与灰姑娘[我不是封面党]
104,11361,634,173238,6519,499,77,14,周刊哔哩哔哩排行榜#1（10年6月第4周）
105,11923,633,-1,8912,4998,216,364,
106,28,627,54482,1474,396,49,17,樱花大战COSPLAY～非常逼真
107,783,623,287139,7076,3141,232,130,[欢乐笔记本]内置病毒AIPC笔记本电脑
108,8805,618,175498,4772,4888,617,94,【萌度爆表的終極殺器】釘宮理惠版 恋愛サーキュレーション
109,4763,612,84300,14850,1090,48,7,【MAD】亿千万X科学超电磁炮
110,1756,600,-1,2186,1484,185,78,
111,50,600,51331,1238,711,100,50,红魔馆的保安（P2添加10周年纪念渣剪辑版）
112,15666,592,346721,21689,2709,409,97,
113,897,583,68062,3058,2434,361,28,【MAD】とある当麻の英雄目録
114,2439,581,-1,4859,2240,59,21,
115,9654,580,44569,2720,2810,947,74,【ef2-OP全改造】CLANNAD至神手绘[修复完毕]
116,7996,579,85514,2911,1312,148,22,YOU
117,26,574,86121,2166,1800,252,124,蓝蓝路的土耳其进行曲
118,3085,571,65630,2679,3414,657,40,【MAD】寝·逃·げでハレ晴レ！セーラーふく
119,5317,557,-1,4235,3597,254,189,
120,848,555,76700,7614,2569,157,47,神PV齐唱ロミオとシンデレラ 罗密欧与灰姑娘
121,1769,555,54991,786,780,200,60,【小缘翻唱.⑨歌钢琴版】そんなゆめをみたの - lonely dreaming
122,6528,548,970162,21569,13920,262,335,
123,2529,548,66577,2245,1348,143,33,回忆的亿千万[男版]
124,1564,546,160483,6630,2970,86,27,【怀旧】AC上的那些老东西
125,13355,537,77913,6714,1355,176,140,【辟邪&猎奇&神同步】史上最美海豚音
126,13822,535,98143,1139,2089,126,39,【化物语】你菊花痒吗？
127,6692,534,62355,5210,2180,231,79,天朝超萌音LOLICON组曲之字幕版
128,13349,532,85999,7842,408,19,40,
129,4143,523,502040,25770,6359,1541,787,超级玛丽完全变态BUG玩法
130,6539,522,-1,2507,753,4,4,
131,11555,518,40167,1185,828,95,21,【歪音エナ】Sweet Home 新日暮里【迷之感动】
132,7680,518,-1,869,1578,237,62,
133,5522,510,126023,4303,1010,206,104,
134,662,506,72198,1583,3230,247,136,「裏表ラバーズ」【PV】
135,2848,504,374563,7000,7123,208,25,東方VocalBGM系列 神曲集壹佰首
136,17904,497,23457,4008,4547,381,177,【vip店長】杠杠杠杠咲自摸【鬼畜洗脑伪声】
137,520,494,29410,412,260,27,10,如果早知道，考古也会被……
138,3279,493,90995,2803,3147,227,43,[治愈木吉他]适合晴朗午后收听
139,13301,486,161260,8747,2790,266,22,【神MAD集】魔法禁书目录全民K歌会【口型同步400%】
140,10412,486,389222,5559,591,44,4,周刊哔哩哔哩排行榜计划！
141,7565,485,219772,4977,2983,188,356,【非ACG】今晚去找小姐
142,5813,482,61196,946,1924,237,21,【東方Vocal】被破壞的護身符
143,17008,479,72408,87114,7877,392,84,【合集】笨蛋测验召唤兽（第一季 1 -13 全）
144,5544,478,140519,3122,2229,27,99,【5120x2880神高清】鳥の詩 高清病毒出沒注意
145,16408,477,17431,16168,6460,220,116,【日本搞笑艺人】UNJASH视频合辑
146,5369,476,59139,2034,451,6,7,【2560x1440p超高清测试】4核CPU以下慎入
147,10426,472,339472,75151,3039,116,180,【纯爷们教你吃野味】荒野求生：饮食篇
148,11283,469,49879,1092,1608,130,23,【略鬼畜】橘美也的天国和地狱
149,4633,466,96542,5183,1428,78,11,【完整版】LEVEL 6 -光头葛炮-【K歌向】
